N;p;Time without Bloom filter;Time with Bloom filter;Error rate
1024;0;1799068;61369;0.0126953;
1024;0.25;1605224;347479;0.00585938;
1024;0.5;1465273;641164;0.00683594;
1024;0.75;1385440;989045;0.00390625;
1024;1;1139440;1336393;0;
4096;0;7178918;199076;0.0090332;
4096;0.25;6492325;1431272;0.00561523;
4096;0.5;5846121;2573984;0.00439453;
4096;0.75;5220906;3926209;0.00195312;
4096;1;4484939;4985727;0;
16384;0;29359450;905723;0.00872803;
16384;0.25;28363971;5804604;0.00604248;
16384;0.5;23231405;11048321;0.00439453;
16384;0.75;22108404;16075981;0.0020752;
16384;1;18713626;21398394;0;
65536;0;117848520;3345909;0.00845337;
65536;0.25;106799874;22527398;0.00627136;
65536;0.5;92133284;42302389;0.00424194;
65536;0.75;82637451;61851100;0.00210571;
65536;1;71528320;80217157;0;
